order_id,order_date,supplier_id,sku,qty,unit_price,currency,ship_mode,incoterm,payment_terms,distance_km,promised_date,urgent,order_notes
28,2024-01-04,5,SKU00013,55,18.75,USD,road,CIF,NET45,674,2024-01-21,0,
29,2024-01-04,10,SKU00012,6,27.29,EUR,air,CIF,NET30,189,2024-01-13,0,
30,2024-01-04,7,SKU00018,55,9.52,EUR,sea,EXW,NET30,778,2024-01-15,0,
31,2024-01-04,6,SKU00036,11,7.34,EUR,sea,CIF,NET45,927,2024-01-28,0,
32,2024-01-05,7,SKU00007,17,9.05,EUR,road,EXW,NET60,737,2024-01-16,0,
33,2024-01-05,16,SKU00031,22,11.88,EUR,rail,DAP,NET60,658,2024-01-15,0,
34,2024-01-05,5,SKU00012,24,25.68,EUR,road,EXW,NET60,484,2024-01-23,0,
35,2024-01-05,10,SKU00031,25,11.83,EUR,sea,EXW,NET30,970,2024-01-08,1,urgent
36,2024-01-05,18,SKU00026,28,9.72,EUR,sea,DAP,NET30,739,2024-01-27,0,
37,2024-01-05,18,SKU00037,41,15.09,USD,road,EXW,NET45,619,2024-01-25,0,
38,2024-01-05,10,SKU00037,11,14.53,EUR,air,CIF,NET30,769,2024-01-11,0,
39,2024-01-05,11,SKU00016,4,6.89,EUR,road,EXW,PREPAID,633,2024-01-23,0,
40,2024-01-06,5,SKU00039,11,18.33,EUR,road,FOB,PREPAID,1044,2024-01-21,0,
41,2024-01-06,8,SKU00029,14,61.5,EUR,air,DAP,NET60,747,2024-01-29,0,
42,2024-01-06,17,SKU00020,33,22.16,EUR,rail,EXW,NET30,1023,2024-01-08,1,urgent
43,2024-01-06,1,SKU00014,21,23.43,EUR,sea,CIF,NET30,706,2024-01-08,0,
44,2024-01-06,12,SKU00016,8,6.43,EUR,road,FOB,NET30,422,2024-01-28,0,
45,2024-01-06,17,SKU00011,7,60.6,EUR,road,EXW,PREPAID,1084,2024-01-10,0,
46,2024-01-06,20,SKU00039,19,19.49,EUR,road,DAP,NET60,1076,2024-01-13,0,
47,2024-01-06,17,SKU00003,17,16.45,EUR,road,FOB,NET60,643,2024-01-11,0,
48,2024-01-06,11,SKU00019,14,21.82,EUR,road,DAP,NET30,720,2024-01-22,0,
49,2024-01-07,8,SKU00015,21,8.71,EUR,sea,CIF,NET45,665,2024-02-02,1,urgent
50,2024-01-07,8,SKU00028,16,14.55,EUR,road,EXW,NET45,743,2024-02-04,0,
51,2024-01-07,15,SKU00018,17,9.96,EUR,road,FOB,NET30,561,2024-02-03,0,
52,2024-01-07,15,SKU00011,11,59.39,EUR,road,CIF,NET60,953,2024-02-06,0,
53,2024-01-08,18,SKU00008,25,13.1,EUR,sea,DAP,NET60,653,2024-01-25,0,
54,2024-01-08,15,SKU00018,10,9.96,EUR,road,DAP,PREPAID,749,2024-01-30,0,
55,2024-01-08,11,SKU00039,15,18.27,EUR,sea,EXW,PREPAID,816,2024-02-03,0,
56,2024-01-08,16,SKU00021,15,14.19,USD,road,CIF,NET30,583,2024-01-22,0,
57,2024-01-08,13,SKU00015,2,9.1,EUR,road,EXW,NET60,554,2024-01-16,0,
58,2024-01-08,7,SKU00012,30,28.89,EUR,road,DAP,PREPAID,821,2024-01-19,0,
59,2024-01-09,11,SKU00018,36,10.26,EUR,road,FOB,PREPAID,938,2024-01-26,0,
60,2024-01-09,1,SKU00032,48,14.97,EUR,road,EXW,PREPAID,595,2024-01-20,0,
61,2024-01-09,15,SKU00023,15,7.09,EUR,sea,DAP,NET60,105,2024-02-05,0,
62,2024-01-09,9,SKU00021,10,13.46,EUR,road,EXW,NET45,650,2024-01-19,0,
63,2024-01-09,10,SKU00027,14,9.01,EUR,sea,DAP,NET60,694,2024-01-11,0,
64,2024-01-09,2,SKU00036,17,7.37,EUR,road,EXW,PREPAID,542,2024-01-27,0,
65,2024-01-09,11,SKU00021,10,12.98,EUR,road,CIF,NET60,844,2024-01-28,0,
66,2024-01-10,14,SKU00008,5,13.85,EUR,road,DAP,NET30,759,2024-02-10,0,
67,2024-01-10,2,SKU00035,63,11.84,EUR,road,DAP,PREPAID,509,2024-01-29,0,
68,2024-01-10,4,SKU00004,7,12.25,EUR,road,FOB,NET60,534,2024-02-01,0,
69,2024-01-10,18,SKU00040,18,27.42,EUR,road,DAP,PREPAID,617,2024-01-30,0,
70,2024-01-10,3,SKU00014,38,22.71,EUR,road,CIF,NET45,749,2024-01-26,0,
71,2024-01-10,17,SKU00019,97,18.43,EUR,road,DAP,PREPAID,702,2024-01-12,1,urgent
72,2024-01-11,11,SKU00008,11,13.18,EUR,air,EXW,NET45,896,2024-02-05,0,
73,2024-01-11,10,SKU00020,7,22.43,EUR,air,EXW,PREPAID,866,2024-01-13,1,urgent
74,2024-01-11,11,SKU00015,22,9.59,EUR,road,EXW,PREPAID,428,2024-02-03,0,
75,2024-01-11,2,SKU00008,19,13.9,EUR,road,FOB,PREPAID,716,2024-01-31,0,
76,2024-01-11,14,SKU00019,22,21.88,EUR,road,CIF,PREPAID,768,2024-02-12,0,
77,2024-01-11,6,SKU00031,8,13.54,USD,air,DAP,NET45,543,2024-02-13,1,urgent
78,2024-01-11,14,SKU00036,15,7.44,USD,road,FOB,PREPAID,50,2024-02-10,0,
79,2024-01-11,3,SKU00039,5,20.87,EUR,road,FOB,NET30,533,2024-01-24,0,
80,2024-01-11,6,SKU00018,11,8.89,EUR,air,DAP,NET60,962,2024-02-08,1,urgent
81,2024-01-11,11,SKU00033,38,6.96,EUR,rail,CIF,NET30,720,2024-02-03,0,
82,2024-01-12,6,SKU00020,18,23.5,EUR,air,DAP,NET45,662,2024-02-08,0,
83,2024-01-12,8,SKU00035,126,11.49,EUR,road,DAP,NET60,558,2024-02-08,0,
84,2024-01-12,11,SKU00022,16,11.43,USD,air,DAP,PREPAID,570,2024-01-29,0,
85,2024-01-12,8,SKU00013,6,18.07,EUR,sea,FOB,PREPAID,729,2024-02-05,0,
86,2024-01-12,20,SKU00015,7,9.76,EUR,sea,DAP,NET30,1058,2024-01-18,0,
87,2024-01-12,11,SKU00021,15,12.51,EUR,road,DAP,PREPAID,774,2024-02-01,0,
88,2024-01-12,16,SKU00025,14,26.29,EUR,rail,FOB,PREPAID,933,2024-01-23,0,
89,2024-01-12,17,SKU00003,15,15.31,EUR,air,FOB,NET60,437,2024-01-14,0,
90,2024-01-12,11,SKU00007,7,8.25,EUR,road,DAP,NET30,851,2024-01-29,0,
91,2024-01-12,14,SKU00034,13,24.42,EUR,sea,DAP,NET30,636,2024-02-14,0,
92,2024-01-13,13,SKU00010,56,19.87,EUR,sea,DAP,NET45,352,2024-01-15,1,urgent
93,2024-01-13,10,SKU00005,9,11.55,EUR,road,DAP,NET60,611,2024-01-15,1,urgent
94,2024-01-13,5,SKU00040,13,24.26,EUR,road,DAP,NET30,400,2024-01-30,0,
95,2024-01-13,10,SKU00022,23,11.12,EUR,road,DAP,NET60,996,2024-01-17,0,
96,2024-01-13,5,SKU00032,50,14.76,EUR,road,EXW,NET30,821,2024-02-01,1,urgent
97,2024-01-13,15,SKU00019,23,21.32,EUR,road,FOB,NET30,560,2024-02-06,0,
98,2024-01-13,15,SKU00028,9,13.68,EUR,road,EXW,NET30,702,2024-02-16,0,
99,2024-01-13,15,SKU00011,26,59.39,EUR,sea,CIF,NET30,815,2024-02-03,0,
100,2024-01-13,18,SKU00021,15,13.04,EUR,road,EXW,NET60,682,2024-01-28,0,
101,2024-01-14,19,SKU00023,41,7.27,EUR,road,CIF,PREPAID,539,2024-02-08,1,urgent
102,2024-01-14,6,SKU00016,7,6.31,EUR,road,DAP,NET45,949,2024-02-12,0,
103,2024-01-14,12,SKU00011,14,30.96,EUR,road,FOB,NET30,621,2024-02-06,0,
104,2024-01-15,3,SKU00040,13,26.42,EUR,road,FOB,PREPAID,464,2024-01-26,0,
105,2024-01-15,16,SKU00015,4,8.63,EUR,road,DAP,NET60,1114,2024-01-23,0,
106,2024-01-15,13,SKU00030,54,17.87,EUR,road,CIF,NET30,1108,2024-02-01,0,
107,2024-01-15,8,SKU00030,14,18.48,EUR,road,CIF,NET45,332,2024-02-07,0,
108,2024-01-15,17,SKU00005,11,10.8,EUR,road,DAP,NET60,565,2024-01-21,0,
109,2024-01-15,6,SKU00028,13,13.92,EUR,road,CIF,PREPAID,565,2024-02-14,1,urgent
110,2024-01-15,17,SKU00013,8,16.58,EUR,road,DAP,PREPAID,627,2024-01-17,0,
111,2024-01-15,19,SKU00007,4,8.36,EUR,road,FOB,PREPAID,884,2024-02-04,0,
112,2024-01-15,13,SKU00037,4,12.61,EUR,air,CIF,NET60,1109,2024-01-25,0,
113,2024-01-15,9,SKU00019,4,19.51,EUR,sea,EXW,PREPAID,1025,2024-01-25,0,
114,2024-01-15,20,SKU00001,36,9.82,EUR,sea,EXW,PREPAID,977,2024-01-28,0,
115,2024-01-15,14,SKU00019,3,20.63,EUR,sea,FOB,NET60,467,2024-02-14,0,
116,2024-01-16,20,SKU00015,7,8.45,EUR,air,FOB,NET60,637,2024-01-30,0,
117,2024-01-16,5,SKU00009,11,14.36,EUR,road,EXW,NET30,388,2024-02-03,0,
118,2024-01-16,3,SKU00020,12,22.9,EUR,rail,DAP,NET30,781,2024-01-21,1,urgent
119,2024-01-16,8,SKU00009,12,14.36,EUR,road,EXW,NET60,1250,2024-02-09,1,urgent
120,2024-01-16,14,SKU00021,18,14.39,EUR,road,DAP,NET45,1186,2024-02-17,0,
121,2024-01-16,7,SKU00013,29,15.38,EUR,sea,FOB,NET60,829,2024-01-29,0,
122,2024-01-17,9,SKU00034,25,25.01,EUR,air,CIF,NET45,915,2024-02-04,0,
123,2024-01-17,16,SKU00031,22,11.86,EUR,air,CIF,NET60,783,2024-02-03,0,
124,2024-01-17,14,SKU00008,10,14.26,EUR,road,DAP,NET30,654,2024-02-14,0,
125,2024-01-17,20,SKU00010,23,18.15,EUR,road,FOB,PREPAID,708,2024-01-25,0,
126,2024-01-17,6,SKU00036,14,7.34,EUR,road,CIF,NET30,559,2024-02-19,0,
127,2024-01-17,3,SKU00001,8,10.45,EUR,road,CIF,NET30,788,2024-01-30,0,
128,2024-01-17,5,SKU00030,12,16.45,EUR,road,CIF,NET60,403,2024-02-04,0,
129,2024-01-17,1,SKU00038,7,12.53,EUR,road,DAP,NET60,943,2024-01-24,0,
130,2024-01-18,13,SKU00007,32,9.24,EUR,sea,FOB,PREPAID,945,2024-01-28,1,urgent
131,2024-01-18,18,SKU00002,20,19.61,EUR,rail,CIF,NET45,342,2024-02-04,1,urgent
132,2024-01-18,20,SKU00030,7,17.33,EUR,road,CIF,PREPAID,526,2024-01-25,0,
133,2024-01-18,9,SKU00008,43,13.04,EUR,road,FOB,NET30,729,2024-02-04,0,
134,2024-01-18,3,SKU00020,8,22.9,EUR,road,DAP,NET30,770,2024-01-28,1,urgent
135,2024-01-18,12,SKU00016,8,7.15,EUR,road,FOB,PREPAID,89,2024-02-07,0,
136,2024-01-19,6,SKU00030,9,18.86,EUR,road,CIF,PREPAID,846,2024-02-20,0,
137,2024-01-19,16,SKU00038,15,12.05,EUR,sea,FOB,PREPAID,740,2024-02-05,0,
138,2024-01-19,9,SKU00032,62,15.35,EUR,sea,DAP,NET60,746,2024-02-03,0,
139,2024-01-19,2,SKU00003,24,16.32,EUR,road,CIF,NET45,1110,2024-02-09,0,
140,2024-01-19,17,SKU00029,14,32.21,EUR,road,DAP,NET45,395,2024-01-24,0,
141,2024-01-19,1,SKU00007,23,9.01,EUR,road,CIF,NET60,855,2024-01-21,0,
142,2024-01-19,9,SKU00004,8,11.53,EUR,road,DAP,NET60,630,2024-02-06,0,
143,2024-01-19,17,SKU00008,11,14.43,EUR,sea,DAP,NET30,605,2024-01-21,0,
144,2024-01-19,20,SKU00014,62,21.81,EUR,road,EXW,NET30,1087,2024-01-31,0,
145,2024-01-19,14,SKU00022,15,11.04,EUR,road,FOB,NET45,817,2024-02-20,0,
146,2024-01-19,3,SKU00037,41,14.2,EUR,road,FOB,NET30,651,2024-02-02,0,
147,2024-01-19,16,SKU00036,48,8.02,USD,road,FOB,NET45,301,2024-01-31,0,
148,2024-01-19,1,SKU00022,14,10.84,EUR,road,FOB,NET30,1066,2024-01-25,0,
149,2024-01-20,2,SKU00018,16,10.04,EUR,road,FOB,NET45,677,2024-02-05,0,
150,2024-01-20,12,SKU00035,30,11.43,EUR,road,CIF,NET45,797,2024-02-12,0,
151,2024-01-20,18,SKU00008,36,13.1,EUR,road,EXW,NET45,579,2024-02-07,0,
152,2024-01-21,15,SKU00023,11,7.29,EUR,road,FOB,NET60,539,2024-02-21,0,
153,2024-01-21,10,SKU00002,17,20.19,EUR,road,FOB,NET60,869,2024-01-23,0,
154,2024-01-21,13,SKU00004,37,10.63,EUR,sea,FOB,PREPAID,922,2024-01-28,0,
155,2024-01-21,12,SKU00034,204,26.59,EUR,road,EXW,NET30,452,2024-02-07,0,
156,2024-01-21,12,SKU00031,41,11.14,EUR,air,DAP,NET60,704,2024-02-10,0,
157,2024-01-21,6,SKU00033,16,7.3,EUR,road,EXW,PREPAID,579,2024-02-24,1,urgent
158,2024-01-21,7,SKU00033,1,11.94,EUR,road,FOB,NET30,561,2024-01-29,0,
159,2024-01-21,10,SKU00030,7,16.78,EUR,road,EXW,NET30,743,2024-01-28,0,
160,2024-01-22,20,SKU00031,28,12.64,EUR,road,DAP,PREPAID,1304,2024-02-07,0,
161,2024-01-22,12,SKU00007,33,9.28,EUR,air,DAP,PREPAID,693,2024-02-08,0,
162,2024-01-22,12,SKU00006,19,21.56,EUR,road,CIF,NET45,787,2024-02-14,0,
163,2024-01-22,9,SKU00005,35,10.21,EUR,air,FOB,NET60,647,2024-02-05,0,
164,2024-01-22,3,SKU00040,7,26.42,EUR,sea,CIF,PREPAID,573,2024-01-27,0,
165,2024-01-22,13,SKU00030,41,19.33,EUR,road,DAP,NET30,657,2024-01-31,0,
166,2024-01-22,5,SKU00008,2,14.21,EUR,air,FOB,PREPAID,731,2024-02-05,0,
167,2024-01-23,15,SKU00015,14,8.73,EUR,road,DAP,NET60,715,2024-02-18,0,
168,2024-01-23,8,SKU00026,7,9.83,EUR,road,DAP,NET30,323,2024-02-23,0,
169,2024-01-23,2,SKU00028,10,13.55,EUR,air,CIF,NET60,1012,2024-02-16,1,urgent
170,2024-01-23,10,SKU00024,52,24.8,EUR,road,FOB,PREPAID,444,2024-02-01,1,urgent
171,2024-01-23,9,SKU00006,4,24.42,EUR,sea,EXW,NET30,818,2024-02-06,0,
172,2024-01-23,16,SKU00007,17,9.46,EUR,sea,CIF,NET45,103,2024-02-07,0,
173,2024-01-23,4,SKU00036,31,6.66,EUR,sea,EXW,NET60,937,2024-02-13,0,
174,2024-01-23,15,SKU00008,44,13.76,EUR,air,DAP,NET60,702,2024-02-17,0,
175,2024-01-24,10,SKU00028,12,14.92,EUR,road,EXW,NET60,667,2024-01-26,0,
176,2024-01-24,17,SKU00039,8,9.41,EUR,road,CIF,NET60,571,2024-01-28,0,
177,2024-01-24,19,SKU00037,22,13.08,EUR,road,FOB,NET45,757,2024-02-10,0,
178,2024-01-25,1,SKU00031,44,12.53,EUR,road,FOB,NET30,774,2024-02-06,0,
179,2024-01-25,20,SKU00036,10,7.63,EUR,road,CIF,NET30,643,2024-02-09,1,urgent
180,2024-01-25,19,SKU00018,29,10.39,USD,air,FOB,PREPAID,1099,2024-02-17,0,
181,2024-01-25,5,SKU00039,80,19.51,EUR,road,CIF,NET30,1201,2024-02-10,0,
182,2024-01-25,19,SKU00012,4,26.2,EUR,sea,CIF,NET60,998,2024-02-15,0,
183,2024-01-25,3,SKU00022,3,12.17,USD,sea,CIF,NET30,896,2024-02-01,0,
184,2024-01-25,7,SKU00010,1,16.78,EUR,rail,DAP,NET30,830,2024-02-08,0,
185,2024-01-25,7,SKU00010,7,16.72,EUR,road,EXW,NET30,635,2024-02-09,0,
186,2024-01-25,7,SKU00034,15,24.86,EUR,road,FOB,PREPAID,808,2024-02-10,0,
187,2024-01-25,1,SKU00030,17,18.6,EUR,road,CIF,NET45,736,2024-02-01,0,
188,2024-01-26,18,SKU00024,54,24.33,EUR,road,CIF,NET60,833,2024-02-14,0,
189,2024-01-26,16,SKU00037,9,12.77,EUR,sea,EXW,NET30,520,2024-02-09,0,
190,2024-01-26,9,SKU00010,10,16.52,EUR,road,FOB,NET30,427,2024-02-07,0,
191,2024-01-26,4,SKU00006,6,22.35,EUR,road,CIF,PREPAID,809,2024-02-12,0,
192,2024-01-27,16,SKU00028,18,14.94,EUR,air,DAP,PREPAID,324,2024-02-10,0,
193,2024-01-27,13,SKU00027,3,8.78,EUR,road,CIF,NET45,681,2024-01-30,0,
194,2024-01-27,11,SKU00023,10,7.18,EUR,air,DAP,NET30,509,2024-02-17,0,
195,2024-01-27,8,SKU00019,72,19.11,EUR,road,DAP,NET60,916,2024-02-21,0,
196,2024-01-27,10,SKU00015,11,9.13,EUR,rail,DAP,NET30,342,2024-01-30,0,
197,2024-01-27,13,SKU00001,7,11.21,EUR,air,FOB,NET60,682,2024-02-06,0,
198,2024-01-27,13,SKU00009,11,13.19,EUR,road,CIF,NET60,564,2024-02-06,0,
199,2024-01-27,19,SKU00008,5,14.28,EUR,sea,EXW,PREPAID,169,2024-02-23,0,
200,2024-01-27,6,SKU00012,24,28.1,EUR,air,FOB,PREPAID,935,2024-02-27,0,
201,2024-01-28,2,SKU00033,53,7.95,EUR,sea,CIF,NET30,658,2024-02-14,0,
202,2024-01-28,3,SKU00026,2,9.66,EUR,air,EXW,PREPAID,626,2024-02-10,0,
203,2024-01-28,1,SKU00030,16,17.88,EUR,sea,EXW,NET60,781,2024-02-04,0,
204,2024-01-28,7,SKU00037,13,13.24,EUR,road,DAP,PREPAID,959,2024-02-05,0,
205,2024-01-28,5,SKU00019,18,19.22,EUR,sea,EXW,PREPAID,562,2024-02-17,0,
206,2024-01-28,19,SKU00002,28,39.18,EUR,air,CIF,NET45,589,2024-02-22,0,
207,2024-01-29,6,SKU00024,38,42.62,EUR,air,EXW,PREPAID,821,2024-02-29,0,
208,2024-01-29,1,SKU00016,27,10.93,EUR,sea,DAP,PREPAID,560,2024-02-06,1,urgent
209,2024-01-29,10,SKU00026,16,8.99,EUR,sea,CIF,NET60,1056,2024-02-03,0,
210,2024-01-29,11,SKU00015,16,8.55,EUR,sea,CIF,NET45,980,2024-02-17,0,
211,2024-01-29,7,SKU00005,20,11.22,EUR,air,EXW,NET45,370,2024-02-09,0,
212,2024-01-29,4,SKU00023,48,7.17,EUR,road,FOB,NET45,622,2024-02-19,0,
213,2024-01-29,4,SKU00010,14,17.1,EUR,road,CIF,NET45,646,2024-02-17,0,
214,2024-01-29,15,SKU00012,35,27.5,EUR,road,FOB,NET30,675,2024-02-28,0,
215,2024-01-30,17,SKU00032,14,15.51,EUR,sea,DAP,PREPAID,499,2024-02-02,0,
216,2024-01-30,6,SKU00037,52,13.79,EUR,road,CIF,NET60,386,2024-02-27,0,
217,2024-01-30,18,SKU00010,14,19.06,EUR,air,DAP,NET30,535,2024-02-18,0,
218,2024-01-30,13,SKU00031,10,11.19,EUR,road,DAP,NET60,634,2024-02-07,0,
219,2024-01-30,13,SKU00018,22,9.35,EUR,air,EXW,NET60,499,2024-02-06,0,
220,2024-01-30,11,SKU00020,46,22.26,EUR,road,DAP,PREPAID,542,2024-02-19,1,urgent
221,2024-01-30,6,SKU00003,23,16.81,USD,sea,EXW,NET60,988,2024-03-05,0,
222,2024-01-30,4,SKU00005,12,11.03,EUR,road,EXW,PREPAID,807,2024-02-16,0,
223,2024-01-30,5,SKU00030,21,16.56,EUR,air,EXW,PREPAID,730,2024-02-19,0,
224,2024-01-30,1,SKU00037,62,15.26,USD,road,FOB,NET60,609,2024-02-07,0,
225,2024-01-30,5,SKU00033,26,7.16,EUR,air,FOB,NET30,613,2024-02-13,0,
226,2024-01-31,6,SKU00007,14,8.81,EUR,road,CIF,NET30,978,2024-03-01,0,
227,2024-01-31,9,SKU00003,10,17.19,EUR,road,FOB,PREPAID,499,2024-02-17,0,
228,2024-01-31,3,SKU00029,6,29.83,EUR,road,FOB,NET60,910,2024-02-11,0,
229,2024-01-31,18,SKU00024,16,25.96,EUR,road,CIF,PREPAID,491,2024-02-15,0,
230,2024-01-31,3,SKU00027,11,9.27,USD,road,CIF,NET30,726,2024-02-09,0,
231,2024-01-31,2,SKU00005,35,10.78,EUR,road,CIF,NET30,815,2024-02-21,0,
232,2024-01-31,3,SKU00019,30,19.18,EUR,air,CIF,NET45,757,2024-02-09,0,
233,2024-01-31,13,SKU00006,43,22.55,EUR,road,FOB,NET60,942,2024-02-11,0,
234,2024-01-31,5,SKU00020,17,23.37,EUR,road,DAP,NET45,691,2024-02-17,0,
235,2024-01-31,5,SKU00020,16,23.37,EUR,road,DAP,NET60,778,2024-02-19,1,urgent
236,2024-01-31,5,SKU00034,3,25.08,EUR,road,EXW,PREPAID,1164,2024-02-17,0,
237,2024-01-31,3,SKU00033,7,8.0,EUR,sea,CIF,NET30,804,2024-02-06,0,
238,2024-02-01,13,SKU00024,18,23.29,EUR,road,CIF,NET45,739,2024-02-08,0,
239,2024-02-01,18,SKU00014,10,24.52,EUR,road,CIF,PREPAID,763,2024-02-24,0,
240,2024-02-01,5,SKU00013,14,18.75,USD,road,FOB,NET45,473,2024-02-21,0,
241,2024-02-01,11,SKU00005,17,10.96,EUR,road,CIF,NET30,839,2024-02-20,0,
242,2024-02-01,1,SKU00033,18,7.36,EUR,sea,EXW,NET60,755,2024-02-08,0,
243,2024-02-01,16,SKU00040,14,26.78,EUR,road,FOB,PREPAID,421,2024-02-14,0,
244,2024-02-01,17,SKU00010,6,17.27,EUR,road,FOB,NET45,965,2024-02-05,0,
245,2024-02-01,6,SKU00040,51,27.83,EUR,road,FOB,PREPAID,607,2024-02-26,1,urgent
246,2024-02-01,14,SKU00003,13,16.13,EUR,road,DAP,NET60,978,2024-02-28,0,
247,2024-02-01,16,SKU00029,19,32.99,USD,air,CIF,PREPAID,480,2024-02-14,0,
248,2024-02-02,11,SKU00035,17,11.75,EUR,road,FOB,NET60,1027,2024-02-20,0,
249,2024-02-02,18,SKU00013,10,15.31,EUR,air,CIF,PREPAID,482,2024-02-26,0,
250,2024-02-02,8,SKU00030,20,18.06,EUR,road,CIF,PREPAID,786,2024-02-21,0,
251,2024-02-02,14,SKU00033,82,7.94,EUR,road,DAP,NET45,713,2024-03-02,1,urgent
252,2024-02-02,8,SKU00013,19,17.72,EUR,road,FOB,NET60,692,2024-02-27,0,
253,2024-02-02,13,SKU00004,43,11.25,EUR,road,DAP,NET60,497,2024-02-09,0,
254,2024-02-03,6,SKU00036,8,7.34,EUR,road,EXW,NET30,804,2024-03-02,1,urgent
255,2024-02-03,10,SKU00006,8,26.08,USD,road,FOB,NET60,431,2024-02-06,0,
256,2024-02-03,4,SKU00033,28,6.81,EUR,road,FOB,PREPAID,832,2024-02-18,0,
257,2024-02-03,7,SKU00006,8,24.98,EUR,air,FOB,PREPAID,639,2024-02-12,0,
258,2024-02-04,10,SKU00002,35,19.61,EUR,road,DAP,NET30,730,2024-02-06,1,urgent
259,2024-02-04,15,SKU00026,77,9.45,EUR,road,CIF,NET45,115,2024-03-06,1,urgent
260,2024-02-04,8,SKU00006,42,24.41,EUR,road,CIF,NET45,973,2024-03-03,0,
261,2024-02-04,1,SKU00002,7,19.57,EUR,road,CIF,NET30,847,2024-02-10,0,
262,2024-02-04,7,SKU00010,6,16.34,EUR,air,FOB,NET30,927,2024-02-12,0,
263,2024-02-04,8,SKU00019,3,19.11,EUR,road,DAP,NET45,490,2024-03-06,0,
264,2024-02-04,20,SKU00029,7,31.15,EUR,road,EXW,NET30,950,2024-02-17,0,
265,2024-02-04,6,SKU00017,19,7.12,EUR,road,FOB,NET45,1226,2024-03-02,0,
266,2024-02-04,17,SKU00036,15,6.52,EUR,road,DAP,NET30,753,2024-02-06,0,
267,2024-02-04,12,SKU00019,29,20.46,EUR,air,FOB,NET60,419,2024-02-25,1,urgent
268,2024-02-04,7,SKU00004,10,12.52,EUR,road,FOB,PREPAID,704,2024-02-08,0,
269,2024-02-04,13,SKU00040,5,27.22,EUR,sea,DAP,NET30,859,2024-02-14,1,urgent
270,2024-02-05,11,SKU00032,94,14.62,EUR,road,EXW,NET45,548,2024-02-22,1,urgent
271,2024-02-05,10,SKU00010,78,17.86,EUR,sea,CIF,PREPAID,299,2024-02-11,0,
272,2024-02-05,18,SKU00001,12,10.48,EUR,road,CIF,NET45,862,2024-02-27,1,urgent
273,2024-02-05,9,SKU00012,28,25.78,EUR,sea,EXW,NET60,624,2024-02-21,0,
274,2024-02-05,5,SKU00005,26,11.16,EUR,air,EXW,PREPAID,357,2024-02-26,0,
275,2024-02-05,16,SKU00031,37,11.32,EUR,road,EXW,PREPAID,920,2024-02-15,0,
